A Number,B Number,IMSI,IMEI,Start Time,INBOUND_OUTBOUND_IND,Call_Network_Volume,Latitude,Longitude,CALL_TYPE,Location
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 20:10,OUTGOING,29,37.6734,53.45242,CALL,"Colvin Road kruzeta, "
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:29,OUTGOING,15,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:29,INCOMING,0,37.6733,53.46314,SMS,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 10:20,INCOMING,20,37.6855,53.4622,CALL,Township  Road Trench
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 11:35,INCOMING,25,37.6855,53.4622,CALL,Township  Road Trench
923310000000,923218000000,11111000000000,35555300000000,01/05/2022 15:33,OUTGOING,10,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:42,INCOMING,49,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 10:19,INCOMING,16,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 17:05,INCOMING,1,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:14,INCOMING,48,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 18:14,INCOMING,0,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:34,INCOMING,24,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 13:47,INCOMING,20,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 16:13,INCOMING,0,37.6733,53.46314,SMS,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 16:13,INCOMING,0,37.6733,53.46314,SMS,River Dale Road kruzeta
923310000000,923336000000,11111000000000,35555300000000,01/05/2022 20:52,OUTGOING,37,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 22:58,INCOMING,25,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,internet,11111000000000,35555300000000,01/05/2022 0:50,DATA,0,37.6733,53.46314,GPRS,River Dale Road kruzeta
923310000000,internet,11111000000000,35555300000000,01/05/2022 10:50,DATA,0,37.6733,53.46314,GPRS,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 12:39,OUTGOING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 12:39,OUTGOING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 9:08,OUTGOING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:33,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 12:39,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 20:53,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 11:55,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 11:55,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 12:20,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:29,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 16:13,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,01/05/2022 15:29,INCOMING,0,,,SMS,
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 23:19,OUTGOING,59,37.69583,67.0364,CALL,Kremlin
923310000000,923168000000,11111000000000,35555300000000,02/05/2022 0:59,OUTGOING,26,36.679,53.45343,CALL,Haali Road - Siwahgarh
923310000000,923108000000,11111000000000,35555300000000,02/05/2022 1:08,OUTGOING,10,36.679,53.45343,CALL,Haali Road - Siwahgarh
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 15:18,INCOMING,11,37.6855,53.4622,CALL,Township  Road Trench
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 17:07,INCOMING,19,37.6855,53.4622,CALL,Township  Road Trench
923310000000,933157000000,11111000000000,35555300000000,02/05/2022 14:20,OUTGOING,33,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 18:38,OUTGOING,45,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,923228000000,11111000000000,35555300000000,02/05/2022 10:26,OUTGOING,18,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933157000000,11111000000000,35555300000000,02/05/2022 14:15,OUTGOING,17,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,923004000000,11111000000000,35555300000000,02/05/2022 14:09,OUTGOING,42,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,923440000000,11111000000000,35555300000000,02/05/2022 0:52,OUTGOING,34,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933657000000,11111000000000,35555300000000,02/05/2022 18:28,OUTGOING,25,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,923084000000,11111000000000,35555300000000,02/05/2022 14:27,OUTGOING,20,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 14:34,INCOMING,37,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 14:26,INCOMING,23,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 9:29,INCOMING,30,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 10:15,INCOMING,23,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 14:29,INCOMING,56,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 10:05,INCOMING,23,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 14:31,INCOMING,45,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 14:35,INCOMING,122,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 10:04,INCOMING,24,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 9:59,INCOMING,39,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 15:26,INCOMING,22,37.6733,53.46314,CALL,River Dale Road kruzeta
923310000000,internet,11111000000000,35555300000000,02/05/2022 0:42,DATA,0,36.679,53.45343,GPRS,Haali Road - Siwahgarh
923310000000,internet,11111000000000,35555300000000,02/05/2022 2:43,DATA,0,36.679,53.45343,GPRS,Haali Road - Siwahgarh
923310000000,internet,11111000000000,35555300000000,02/05/2022 22:18,DATA,0,37.69583,67.0364,GPRS,Kremlin
923310000000,933402000000,11111000000000,35555300000000,02/05/2022 0:53,INCOMING,0,,,SMS,
